"artist","firstName","lastName","gender","itemInSession","length","level","location","sessionId","song","userId"
"Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner","Mohammad","Rodriguez","M","0","277.15873","paid","Sacramento--Roseville--Arden-Arcade, CA","961","Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)","88"
"Jimi Hendrix","Mohammad","Rodriguez","M","1","239.82975","paid","Sacramento--Roseville--Arden-Arcade, CA","961","Woodstock Inprovisation","88"
"Building 429","Mohammad","Rodriguez","M","2","300.61669","paid","Sacramento--Roseville--Arden-Arcade, CA","961","Majesty (LP Version)","88"
"The B-52's","Gianna","Jones","F","0","321.54077","free","New York-Newark-Jersey City, NY-NJ-PA","107","Love Shack","38"
"Die Mooskirchner","Gianna","Jones","F","1","169.29914","free","New York-Newark-Jersey City, NY-NJ-PA","107","Frisch und g'sund","38"
"Carrie Underwood","Gianna","Jones","F","2","195.70893","free","New York-Newark-Jersey City, NY-NJ-PA","107","Look At Me","38"
"No Te Va Gustar","Kaylee","Summers","F","0","246.43873","free","Phoenix-Mesa-Scottsdale, AZ","833","Ya EntendÃÂ­","8"
"The Velvet Underground / Nico","Kaylee","Summers","F","1","360.09751","free","Phoenix-Mesa-Scottsdale, AZ","833","All Tomorrow's Parties","8"
"Snoop Dogg / Jamie Foxx","Kaylee","Summers","F","2","179.35628","free","Phoenix-Mesa-Scottsdale, AZ","833","Psst!","8"
"Dixie Chicks","Kaylee","Summers","F","3","201.01179","free","Phoenix-Mesa-Scottsdale, AZ","833","There's Your Trouble","8"
"Linkin Park","Kaylee","Summers","F","5","189.28281","free","Phoenix-Mesa-Scottsdale, AZ","833","Given Up (Album Version)","8"
"Alice In Chains","Kevin","Arellano","M","0","239.35955","free","Harrisburg-Carlisle, PA","934","Take Her Out","66"
"Florence + The Machine","Anabelle","Simpson","F","1","176.69179","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","926","My Boy Builds Coffins","69"
"Spoon","Theodore","Smith","M","0","299.20608","free","Houston-The Woodlands-Sugar Land, TX","968","The Mystery Zone","52"
"Alice In Chains","Aiden","Hess","M","1","223.26812","free","La Crosse-Onalaska, WI-MN","917","Would?","86"
"Natalie Walker","Aiden","Hess","M","2","191.84281","free","La Crosse-Onalaska, WI-MN","917","Colorblind","86"
"Traveling Wilburys","Ava","Robinson","F","0","207.59465","free","New Haven-Milford, CT","940","End Of The Line","50"
"Cherokee","Chloe","Cuevas","F","0","414.6673","paid","San Francisco-Oakland-Hayward, CA","960","Relax","49"
"NOFX","Chloe","Cuevas","F","1","1099.78077","paid","San Francisco-Oakland-Hayward, CA","960","The Decline","49"
"Cameo","Chloe","Cuevas","F","2","211.98322","paid","San Francisco-Oakland-Hayward, CA","960","Word Up!","49"
"Natalia Lafourcade","Layla","Griffin","F","0","264.25424","paid","Lake Havasu City-Kingman, AZ","879","Look Outside","24"
"J Dilla","Layla","Griffin","F","1","232.46322","paid","Lake Havasu City-Kingman, AZ","879","Won't Do","24"
"Sergio Mendes","Layla","Griffin","F","2","254.85016","paid","Lake Havasu City-Kingman, AZ","879","Never Gonna Let You Go","24"
"Jarabe De Palo","Layla","Griffin","F","3","205.08689","paid","Lake Havasu City-Kingman, AZ","879","En Lo Puro No Hay Futuro","24"
"Carrie Underwood","Layla","Griffin","F","4","257.88036","paid","Lake Havasu City-Kingman, AZ","879","I Told You So","24"
"Enigma","Elijah","Davis","M","0","258.71628","free","Detroit-Warren-Dearborn, MI","138","Je T'aime Till My Dying Day","5"
"Kelly Clarkson","Layla","Griffin","F","5","221.09995","paid","Lake Havasu City-Kingman, AZ","879","The Trouble With Love Is","24"
"Timbaland & Magoo","Layla","Griffin","F","6","279.7971","paid","Lake Havasu City-Kingman, AZ","879","Put 'Em On","24"
"The Wombats","Elijah","Davis","M","1","69.95546","free","Detroit-Warren-Dearborn, MI","138","Tales of Girls_ Boys and Marsupials (album version)","5"
"Andrew Bird","Elijah","Davis","M","2","316.47302","free","Detroit-Warren-Dearborn, MI","138","Skin Is_ My","5"
"Colin James","Layla","Griffin","F","8","298.52689","paid","Lake Havasu City-Kingman, AZ","879","Just Came Back","24"
"Los Wawanco","Rylan","George","M","0","165.79873","paid","Birmingham-Hoover, AL","871","La Casita Blanca","16"
"Dancing DJ's v Roxette","Layla","Griffin","F","9","370.78159","paid","Lake Havasu City-Kingman, AZ","879","Fading Like A Flower (Extended Mix)","24"
"Robert Rich & Alio Die","Layla","Griffin","F","10","375.92771","paid","Lake Havasu City-Kingman, AZ","879","Sirena","24"
"Gabin featuring China Moses","Layla","Griffin","F","11","249.36444","paid","Lake Havasu City-Kingman, AZ","879","The Other Way Round (Feat. China Moses)","24"
"Los Lobos","Aiden","Hess","M","0","174.18404","free","La Crosse-Onalaska, WI-MN","978","La Bamba","86"
"Robert Pollard","Aiden","Hess","M","1","202.91873","free","La Crosse-Onalaska, WI-MN","978","We All Got Out (of the Army)","86"
"MÃÂ¥ns ZelmerlÃÂ¶w","Aiden","Hess","M","2","206.96771","free","La Crosse-Onalaska, WI-MN","978","Brother Oh Brother","86"
"Shakira","Aiden","Hess","M","3","192.70485","free","La Crosse-Onalaska, WI-MN","978","Did it Again","86"
"Showbread","Aiden","Hess","M","4","297.58649","free","La Crosse-Onalaska, WI-MN","978","The Pig","86"
"DHT Feat. EdmÃÂ©e","Chloe","Cuevas","F","1","229.98159","paid","San Francisco-Oakland-Hayward, CA","982","Listen To Your Heart","49"
"Bersuit Vergarabat","Chloe","Cuevas","F","2","212.40118","paid","San Francisco-Oakland-Hayward, CA","982","Yo Tomo","49"
"La Roux","Chloe","Cuevas","F","3","185.65179","paid","San Francisco-Oakland-Hayward, CA","982","Quicksand","49"
"Conjure One","Chloe","Cuevas","F","4","300.09424","paid","San Francisco-Oakland-Hayward, CA","982","Center Of The Sun","49"
"Graham Colton","Chloe","Cuevas","F","5","235.10159","paid","San Francisco-Oakland-Hayward, CA","982","On Your Side","49"
"The Starting Line","Chloe","Cuevas","F","6","207.85587","paid","San Francisco-Oakland-Hayward, CA","982","I'm Real","49"
"Jimmy Eat World","Chloe","Cuevas","F","7","385.802","paid","San Francisco-Oakland-Hayward, CA","982","Drugs Or Me","49"
"Pull Tiger Tail","Chloe","Cuevas","F","8","239.882","paid","San Francisco-Oakland-Hayward, CA","982","Hurricanes","49"
"OneRepublic","Chloe","Cuevas","F","9","224.67873","paid","San Francisco-Oakland-Hayward, CA","982","Secrets","49"
"Hannah Montana","Chloe","Cuevas","F","10","174.00118","paid","San Francisco-Oakland-Hayward, CA","982","The Best Of Both Worlds","49"
